date,type,operator,fatalities,location,country,cat,year
02-AUG-1919,Caproni Ca.48,Caproni,14.0,Verona,Italy,A1,1919
11-AUG-1919,Felixstowe Fury,RAF,1.0,near Felixtowe RNAS,U.K.,A1,1919
23-FEB-1920,Handley Page O/7,Handley Page Transport,0.0,"Acadia Siding, C...",South Africa,A1,1920
25-FEB-1920,Handley Page O/400,Handley Page Transport,0.0,near El Shereik,Sudan,A1,1920
30-JUN-1920,Handley Page O/400,Handley Page Transport,0.0,ÃstanÃ¥,Sweden,A1,1920
14-DEC-1920,Handley Page O/400,Handley Page Transport,4.0,Golders Green,U.K.,A1,1920
15-JAN-1921,Aeromarine 75,Aeromarine Airways,0.0,Havana harbour,Cuba,O1,1921
02-MAR-1921,Handley Page O/7,HP Indo-Burmese Transport,0.0,Meerut,India,O1,1921
04-MAR-1921,Caproni Ca.60 Noviplano,Caproni,0.0,Lago Maggiore,Italy,A1,1921
26-AUG-1921,Farman F.60 Goliath,SNETA,2.0,near Calais [The Engl...,France,A1,1921
27-SEP-1921,Farman F.60 Goliath,SNETA,0.0,Evere Airfield,Belgium,O1,1921
27-SEP-1921,Farman F.60 Goliath,SNETA,0.0,Evere Airfield,Belgium,O1,1921
30-DEC-1921,Handley Page O/10,Handley Page Transport,6.146275647879436,Berck-sur-Mer,France,U1,1921
22-JAN-1922,Handley Page O/10,Handley Page Transport,0.0,near Senlis,France,A1,1922
31-MAR-1922,Handley Page O/7,Chinese Government,14.0,near Beijing-Nanyuan ...,China,A1,1922
07-APR-1922,Farman F.60 Goliath,Grands Express AÃ©riens,5.0,Thieuloy-Saint-A...,France,A1,1922
13-JAN-1923,Aeromarine 75,Aeromarine Airways,4.0,"near Havana, Cuba",Atlantic Ocean,A1,1923
14-MAY-1923,Farman F.60 Goliath,Air Union,6.0,"Monsures, Somme",France,A1,1923
25-JUN-1923,Farman F.60 Goliath,Air Union,0.0,near Ãtaples,France,A1,1923
10-JUL-1923,Handley Page W.8,Handley Page Transport,0.0,Poix,France,A1,1923
15-JUL-1923,Farman F.60 Goliath,Compagnie AÃ©rienne FranÃ§aise,0.0,near Valenciennes,France,A1,1923
27-AUG-1923,Farman F.60 Goliath,Air Union,1.0,"East Malling, Kent",U.K.,A1,1923
03-DEC-1923,Farman F.60 Goliath,Air Union,6.146275647879436,"Littlestone, Kent",U.K.,A1,1923
??-???-1923,Aeromarine 75,Aeromarine Airways,0.0,Havana harbour,Cuba,O1,1923
22-JAN-1924,Farman F.60 Goliath,Air Union,6.146275647879436,London-Croydon A...,U.K.,A1,1924
06-AUG-1924,Farman F.60 Goliath,Air Union,0.0,"Golden Green, ne...",U.K.,A2,1924
24-AUG-1924,Farman F.61 Goliath,SGTA,0.0,near Amsterdam-Schiph...,Netherlands,A1,1924
16-OCT-1925,Farman F.60 Goliath,Air Union,3.0,"Wadhurst, East S...",U.K.,A1,1925
14-NOV-1925,Farman F.60 Goliath,Air Union,0.0,near Boulogne [Englis...,France,A2,1925
18-AUG-1926,BlÃ©riot 155,Air Union,4.0,"Hurst, near Ashf...",U.K.,A1,1926
